County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate (%),Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Average HCC Score
STATE TOTAL,.2007,200753000,2007,.,840313,656632,183681,0.2,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012007,200753001,2007,53001,2061,1885,176,0.1,72,0.5,0.5,,,,,0.2,0.92
Asotin,530032007,200753003,2007,53003,4757,4223,534,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052007,200753005,2007,53005,20673,18293,2380,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.93
Chelan,530072007,200753007,2007,53007,11733,10337,1396,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.88
Clallam,530092007,200753009,2007,53009,18263,17168,1095,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.82
Clark,530112007,200753011,2007,53011,46954,24263,22691,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.92
Columbia,530132007,200753013,2007,53013,936,857,79,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.82
Cowlitz,530152007,200753015,2007,53015,17713,10719,6994,0.4,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.97
Douglas,530172007,200753017,2007,53017,5276,4565,711,0.1,73,0.5,0.5,,,,,0.1,0.90
Ferry,530192007,200753019,2007,53019,1369,1237,132,0.1,70,0.5,0.5,,,,,0.2,0.75
Franklin,530212007,200753021,2007,53021,5735,5027,708,0.1,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.96
Garfield,530232007,200753023,2007,53023,511,474,37,0.1,75,0.6,0.4,,,,,0.1,0.90
Grant,530252007,200753025,2007,53025,11265,9949,1316,0.1,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.89
Grays Harbor,530272007,200753027,2007,53027,13439,12463,976,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.92
Island,530292007,200753029,2007,53029,13815,11049,2766,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.79
Jefferson,530312007,200753031,2007,53031,7642,7287,355,0.0,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
King,530332007,200753033,2007,53033,201417,151809,49608,0.2,72,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.91
Kitsap,530352007,200753035,2007,53035,32436,27458,4978,0.2,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.92
Kittitas,530372007,200753037,2007,53037,5256,4838,418,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
Klickitat,530392007,200753039,2007,53039,3892,3522,370,0.1,71,0.5,0.5,,,,,0.2,0.76
Lewis,530412007,200753041,2007,53041,14246,11252,2994,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.89
Lincoln,530432007,200753043,2007,53043,2352,2211,141,0.1,73,0.5,0.5,,,,,0.1,0.85
Mason,530452007,200753045,2007,53045,11463,9142,2321,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.81
Okanogan,530472007,200753047,2007,53047,7466,6651,815,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.84
Pacific,530492007,200753049,2007,53049,5729,5287,442,0.1,72,0.5,0.5,,,,,0.2,0.85
Pend Oreille,530512007,200753051,2007,53051,2258,2037,221,0.1,70,0.5,0.5,,,,,0.2,0.83
Pierce,530532007,200753053,2007,53053,93621,75724,17897,0.2,71,0.5,0.5,0.9,0.1,0.0,0.1,0.2,0.93
San Juan,530552007,200753055,2007,53055,3180,2758,422,0.1,73,0.5,0.5,,,,,0.1,0.70
Skagit,530572007,200753057,2007,53057,19436,14879,4557,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.83
Skamania,530592007,200753059,2007,53059,1441,1165,276,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.79
Snohomish,530612007,200753061,2007,53061,72893,50264,22629,0.3,71,0.6,0.4,0.9,0.0,0.0,0.1,0.2,0.92
Spokane,530632007,200753063,2007,53063,67217,56837,10380,0.2,72,0.6,0.4,1.0,0.0,0.0,0.0,0.2,0.94
Stevens,530652007,200753065,2007,53065,8006,7080,926,0.1,71,0.5,0.5,,,,,0.2,0.82
Thurston,530672007,200753067,2007,53067,33821,23202,10619,0.3,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.88
Wahkiakum,530692007,200753069,2007,53069,966,709,257,0.3,72,0.5,0.5,,,,,0.1,0.86
Walla Walla,530712007,200753071,2007,53071,9338,8249,1089,0.1,74,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.95
Whatcom,530732007,200753073,2007,53073,27027,20760,6267,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.90
Whitman,530752007,200753075,2007,53075,4265,4048,217,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.89
Yakima,530772007,200753077,2007,53077,30445,26954,3491,0.1,72,0.5,0.5,0.8,0.0,0.1,0.0,0.3,0.94
STATE TOTAL,.2008,200853000,2008,.,867440,656321,211119,0.2,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012008,200853001,2008,53001,2080,1852,228,0.1,72,0.5,0.5,,,,,0.2,0.94
Asotin,530032008,200853003,2008,53003,4843,3989,854,0.2,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052008,200853005,2008,53005,21648,18385,3263,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.93
Chelan,530072008,200853007,2008,53007,12146,10207,1939,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Clallam,530092008,200853009,2008,53009,18689,17210,1479,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.80
Clark,530112008,200853011,2008,53011,49377,24673,24704,0.5,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.92
Columbia,530132008,200853013,2008,53013,949,854,95,0.1,72,0.5,0.5,,,,,0.2,0.86
Cowlitz,530152008,200853015,2008,53015,18241,10595,7646,0.4,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.96
Douglas,530172008,200853017,2008,53017,5393,4482,911,0.2,73,0.5,0.5,,,,,0.2,0.88
Ferry,530192008,200853019,2008,53019,1435,1263,172,0.1,69,0.5,0.5,,,,,0.2,0.73
Franklin,530212008,200853021,2008,53021,6070,5079,991,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.96
Garfield,530232008,200853023,2008,53023,517,461,56,0.1,75,0.6,0.4,,,,,0.1,1.00
Grant,530252008,200853025,2008,53025,11547,9878,1669,0.1,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.88
Grays Harbor,530272008,200853027,2008,53027,13686,12490,1196,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.91
Island,530292008,200853029,2008,53029,14498,11248,3250,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.80
Jefferson,530312008,200853031,2008,53031,7961,7521,440,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
